"sample","stratum","n_cells","hybrid_pct","threshold"
"S1","Osteoporotic range",768,100,-0.06
"S1","Osteoporotic range",768,100,-0.04
"S1","Osteoporotic range",768,100,-0.02
"S1","Osteoporotic range",768,37.109375,0
"S1","Osteoporotic range",768,28.3854166666667,0.02
"S1","Osteoporotic range",768,21.484375,0.04
"S1","Osteoporotic range",768,11.328125,0.06
"S2","Osteopenic range",1708,100,-0.06
"S2","Osteopenic range",1708,100,-0.04
"S2","Osteopenic range",1708,100,-0.02
"S2","Osteopenic range",1708,55.9718969555035,0
"S2","Osteopenic range",1708,50.9367681498829,0.02
"S2","Osteopenic range",1708,39.2271662763466,0.04
"S2","Osteopenic range",1708,18.9110070257611,0.06
"S3","Not stratified",469,100,-0.06
"S3","Not stratified",469,100,-0.04
"S3","Not stratified",469,100,-0.02
"S3","Not stratified",469,42.8571428571429,0
"S3","Not stratified",469,39.4456289978678,0.02
"S3","Not stratified",469,28.5714285714286,0.04
"S3","Not stratified",469,15.138592750533,0.06
"S4","Not stratified",905,100,-0.06
"S4","Not stratified",905,100,-0.04
"S4","Not stratified",905,100,-0.02
"S4","Not stratified",905,35.3591160220994,0
"S4","Not stratified",905,28.2872928176796,0.02
"S4","Not stratified",905,18.6740331491713,0.04
"S4","Not stratified",905,12.707182320442,0.06
