"metric","value"
"n_cells",3850
"n_donors",4
"rho_cell_level",-0.32136099767493
"rho_lodo_min",-0.331129652910114
"rho_lodo_max",-0.283357686797433
"rho_lodo_all_negative",1
"rho_within_donor",-0.314752828915664
"p_within_donor_perm",0.000499750124937531
"boot_ci_lo",-0.340771404846525
"boot_ci_hi",-0.257715374538356
"boot_ci_excludes_zero",1
"p_perm_donor_block",0.000499750124937531
"gam_edf_full",8.2091938059625
"gam_p_full",0
"breakpoint_full",0.447720055853851
"bp_lo_full",0.390168
"bp_hi_full",0.505272
"slope_pre_full",0.18717
"slope_post_full",-0.26836
"davies_p_full",3.17639575544514e-31
"breakpoint_lodo_min",0.428965341422302
"breakpoint_lodo_max",0.468042965876903
"donor_level_rho_n4",-0.8
"s2_vs_s1_cell_perm_p_anticonservative",0.0744627686156921
